,data_dict,delta_Hmix,delta_Smix,delta_R,VECmix,Tmix,Omiga,is_stable,phase
0,"{""Pd"": 0.05, ""Pt"": 0.05, ""Al"": 0.2, ""Ag"": 0.35, ""Cu"": 0.35}",-6.38,11.277,5.461,9.3,1287.21,2.275,True,FCC
1,"{""Pd"": 0.05, ""Pt"": 0.05, ""Al"": 0.25, ""Ag"": 0.3, ""Cu"": 0.35}",-7.49,11.43,5.425,8.9,1272.173,1.941,True,FCC
2,"{""Pd"": 0.05, ""Pt"": 0.05, ""Al"": 0.25, ""Ag"": 0.35, ""Cu"": 0.3}",-7.46,11.43,5.232,8.9,1265.992,1.94,True,FCC
3,"{""Pd"": 0.05, ""Pt"": 0.05, ""Al"": 0.3, ""Ag"": 0.25, ""Cu"": 0.35}",-8.52,11.43,5.388,8.5,1257.135,1.687,True,FCC
4,"{""Pd"": 0.05, ""Pt"": 0.05, ""Al"": 0.3, ""Ag"": 0.3, ""Cu"": 0.3}",-8.5,11.499,5.199,8.5,1250.955,1.692,True,FCC
5,"{""Pd"": 0.05, ""Pt"": 0.05, ""Al"": 0.3, ""Ag"": 0.35, ""Cu"": 0.25}",-8.52,11.43,4.936,8.5,1244.775,1.67,True,FCC
6,"{""Pd"": 0.05, ""Pt"": 0.05, ""Al"": 0.35, ""Ag"": 0.2, ""Cu"": 0.35}",-9.47,11.277,5.35,8.1,1242.098,1.479,True,FCC
7,"{""Pd"": 0.05, ""Pt"": 0.05, ""Al"": 0.35, ""Ag"": 0.25, ""Cu"": 0.3}",-9.46,11.43,5.166,8.1,1235.918,1.493,True,FCC
8,"{""Pd"": 0.05, ""Pt"": 0.05, ""Al"": 0.35, ""Ag"": 0.3, ""Cu"": 0.25}",-9.49,11.43,4.907,8.1,1229.738,1.481,True,FCC
9,"{""Pd"": 0.05, ""Pt"": 0.05, ""Al"": 0.35, ""Ag"": 0.35, ""Cu"": 0.2}",-9.56,11.277,4.562,8.1,1223.558,1.443,True,FCC
10,"{""Pd"": 0.05, ""Pt"": 0.1, ""Al"": 0.15, ""Ag"": 0.35, ""Cu"": 0.35}",-7.34,11.635,5.397,9.65,1342.798,2.129,True,FCC
11,"{""Pd"": 0.05, ""Pt"": 0.1, ""Al"": 0.2, ""Ag"": 0.3, ""Cu"": 0.35}",-8.92,11.894,5.359,9.25,1327.76,1.77,True,FCC
12,"{""Pd"": 0.05, ""Pt"": 0.1, ""Al"": 0.2, ""Ag"": 0.35, ""Cu"": 0.3}",-8.75,11.894,5.183,9.25,1321.58,1.796,True,FCC
13,"{""Pd"": 0.05, ""Pt"": 0.1, ""Al"": 0.25, ""Ag"": 0.25, ""Cu"": 0.35}",-10.42,11.977,5.32,8.85,1312.722,1.509,True,FCC
14,"{""Pd"": 0.05, ""Pt"": 0.1, ""Al"": 0.25, ""Ag"": 0.3, ""Cu"": 0.3}",-10.26,12.047,5.149,8.85,1306.542,1.534,True,FCC
15,"{""Pd"": 0.05, ""Pt"": 0.1, ""Al"": 0.25, ""Ag"": 0.35, ""Cu"": 0.25}",-10.14,11.977,4.902,8.85,1300.362,1.536,True,FCC
16,"{""Pd"": 0.05, ""Pt"": 0.1, ""Al"": 0.3, ""Ag"": 0.2, ""Cu"": 0.35}",-11.84,11.894,5.281,8.45,1297.685,1.304,True,FCC
17,"{""Pd"": 0.05, ""Pt"": 0.1, ""Al"": 0.3, ""Ag"": 0.25, ""Cu"": 0.3}",-11.69,12.047,5.114,8.45,1291.505,1.331,True,FCC
18,"{""Pd"": 0.05, ""Pt"": 0.1, ""Al"": 0.3, ""Ag"": 0.3, ""Cu"": 0.25}",-11.58,12.047,4.871,8.45,1285.325,1.337,True,FCC
19,"{""Pd"": 0.05, ""Pt"": 0.1, ""Al"": 0.3, ""Ag"": 0.35, ""Cu"": 0.2}",-11.51,11.894,4.544,8.45,1279.145,1.322,True,FCC
20,"{""Pd"": 0.05, ""Pt"": 0.1, ""Al"": 0.35, ""Ag"": 0.15, ""Cu"": 0.35}",-13.18,11.635,5.24,8.05,1282.648,1.132,True,FCC
21,"{""Pd"": 0.05, ""Pt"": 0.1, ""Al"": 0.35, ""Ag"": 0.2, ""Cu"": 0.3}",-13.04,11.894,5.078,8.05,1276.468,1.164,True,FCC
22,"{""Pd"": 0.05, ""Pt"": 0.1, ""Al"": 0.35, ""Ag"": 0.25, ""Cu"": 0.25}",-12.94,11.977,4.84,8.05,1270.288,1.176,True,FCC
23,"{""Pd"": 0.05, ""Pt"": 0.1, ""Al"": 0.35, ""Ag"": 0.3, ""Cu"": 0.2}",-12.88,11.894,4.517,8.05,1264.108,1.167,True,FCC
24,"{""Pd"": 0.05, ""Pt"": 0.1, ""Al"": 0.35, ""Ag"": 0.35, ""Cu"": 0.15}",-12.86,11.635,4.092,8.05,1257.927,1.138,True,FCC
25,"{""Pd"": 0.05, ""Pt"": 0.15, ""Al"": 0.1, ""Ag"": 0.35, ""Cu"": 0.35}",-7.42,11.635,5.328,10.0,1398.385,2.193,True,FCC
26,"{""Pd"": 0.05, ""Pt"": 0.15, ""Al"": 0.15, ""Ag"": 0.3, ""Cu"": 0.35}",-9.47,12.035,5.287,9.6,1383.348,1.758,True,FCC
27,"{""Pd"": 0.05, ""Pt"": 0.15, ""Al"": 0.15, ""Ag"": 0.35, ""Cu"": 0.3}",-9.16,12.035,5.128,9.6,1377.168,1.809,True,FCC
28,"{""Pd"": 0.05, ""Pt"": 0.15, ""Al"": 0.2, ""Ag"": 0.25, ""Cu"": 0.35}",-11.44,12.224,5.246,9.2,1368.31,1.462,True,FCC
29,"{""Pd"": 0.05, ""Pt"": 0.15, ""Al"": 0.2, ""Ag"": 0.3, ""Cu"": 0.3}",-11.14,12.293,5.092,9.2,1362.13,1.503,True,FCC
30,"{""Pd"": 0.05, ""Pt"": 0.15, ""Al"": 0.2, ""Ag"": 0.35, ""Cu"": 0.25}",-10.88,12.224,4.862,9.2,1355.95,1.523,True,FCC
31,"{""Pd"": 0.05, ""Pt"": 0.15, ""Al"": 0.25, ""Ag"": 0.2, ""Cu"": 0.35}",-13.33,12.224,5.204,8.8,1353.272,1.241,True,FCC
32,"{""Pd"": 0.05, ""Pt"": 0.15, ""Al"": 0.25, ""Ag"": 0.25, ""Cu"": 0.3}",-13.04,12.377,5.055,8.8,1347.092,1.279,True,FCC
33,"{""Pd"": 0.05, ""Pt"": 0.15, ""Al"": 0.25, ""Ag"": 0.3, ""Cu"": 0.25}",-12.79,12.377,4.83,8.8,1340.912,1.298,True,FCC
34,"{""Pd"": 0.05, ""Pt"": 0.15, ""Al"": 0.25, ""Ag"": 0.35, ""Cu"": 0.2}",-12.58,12.224,4.521,8.8,1334.732,1.297,True,FCC
36,"{""Pd"": 0.05, ""Pt"": 0.15, ""Al"": 0.3, ""Ag"": 0.2, ""Cu"": 0.3}",-14.86,12.293,5.017,8.4,1332.055,1.102,True,FCC
37,"{""Pd"": 0.05, ""Pt"": 0.15, ""Al"": 0.3, ""Ag"": 0.25, ""Cu"": 0.25}",-14.62,12.377,4.796,8.4,1325.875,1.122,True,FCC
38,"{""Pd"": 0.05, ""Pt"": 0.15, ""Al"": 0.3, ""Ag"": 0.3, ""Cu"": 0.2}",-14.42,12.293,4.491,8.4,1319.695,1.125,True,FCC
39,"{""Pd"": 0.05, ""Pt"": 0.15, ""Al"": 0.3, ""Ag"": 0.35, ""Cu"": 0.15}",-14.26,12.035,4.086,8.4,1313.515,1.109,True,FCC
46,"{""Pd"": 0.05, ""Pt"": 0.2, ""Al"": 0.05, ""Ag"": 0.35, ""Cu"": 0.35}",-6.62,11.277,5.251,10.35,1453.972,2.477,True,FCC
47,"{""Pd"": 0.05, ""Pt"": 0.2, ""Al"": 0.1, ""Ag"": 0.3, ""Cu"": 0.35}",-9.14,11.894,5.209,9.95,1438.935,1.873,True,FCC
48,"{""Pd"": 0.05, ""Pt"": 0.2, ""Al"": 0.1, ""Ag"": 0.35, ""Cu"": 0.3}",-8.69,11.894,5.067,9.95,1432.755,1.961,True,FCC
49,"{""Pd"": 0.05, ""Pt"": 0.2, ""Al"": 0.15, ""Ag"": 0.25, ""Cu"": 0.35}",-11.58,12.224,5.165,9.55,1423.897,1.503,True,FCC
50,"{""Pd"": 0.05, ""Pt"": 0.2, ""Al"": 0.15, ""Ag"": 0.3, ""Cu"": 0.3}",-11.14,12.293,5.029,9.55,1417.718,1.564,True,FCC
51,"{""Pd"": 0.05, ""Pt"": 0.2, ""Al"": 0.15, ""Ag"": 0.35, ""Cu"": 0.25}",-10.74,12.224,4.817,9.55,1411.538,1.607,True,FCC
52,"{""Pd"": 0.05, ""Pt"": 0.2, ""Al"": 0.2, ""Ag"": 0.2, ""Cu"": 0.35}",-13.94,12.329,5.121,9.15,1408.86,1.246,True,FCC
53,"{""Pd"": 0.05, ""Pt"": 0.2, ""Al"": 0.2, ""Ag"": 0.25, ""Cu"": 0.3}",-13.51,12.482,4.989,9.15,1402.68,1.296,True,FCC
54,"{""Pd"": 0.05, ""Pt"": 0.2, ""Al"": 0.2, ""Ag"": 0.3, ""Cu"": 0.25}",-13.12,12.482,4.782,9.15,1396.5,1.329,True,FCC
