,data_dict,delta_Hmix,delta_Smix,delta_R,VECmix,Tmix,Omiga,is_stable,phase
35,"{""Pd"": 0.05, ""Pt"": 0.15, ""Al"": 0.3, ""Ag"": 0.15, ""Cu"": 0.35}",-15.14,12.035,5.162,8.4,1338.235,1.064,False,
40,"{""Pd"": 0.05, ""Pt"": 0.15, ""Al"": 0.35, ""Ag"": 0.1, ""Cu"": 0.35}",-16.87,11.635,5.118,8.0,1323.198,0.913,False,
41,"{""Pd"": 0.05, ""Pt"": 0.15, ""Al"": 0.35, ""Ag"": 0.15, ""Cu"": 0.3}",-16.6,12.035,4.978,8.0,1317.018,0.955,False,
42,"{""Pd"": 0.05, ""Pt"": 0.15, ""Al"": 0.35, ""Ag"": 0.2, ""Cu"": 0.25}",-16.37,12.224,4.762,8.0,1310.838,0.979,False,
43,"{""Pd"": 0.05, ""Pt"": 0.15, ""Al"": 0.35, ""Ag"": 0.25, ""Cu"": 0.2}",-16.18,12.224,4.461,8.0,1304.658,0.986,False,
44,"{""Pd"": 0.05, ""Pt"": 0.15, ""Al"": 0.35, ""Ag"": 0.3, ""Cu"": 0.15}",-16.03,12.035,4.06,8.0,1298.478,0.975,False,
45,"{""Pd"": 0.05, ""Pt"": 0.15, ""Al"": 0.35, ""Ag"": 0.35, ""Cu"": 0.1}",-15.92,11.635,3.527,8.0,1292.298,0.944,False,
56,"{""Pd"": 0.05, ""Pt"": 0.2, ""Al"": 0.25, ""Ag"": 0.15, ""Cu"": 0.35}",-16.22,12.224,5.076,8.75,1393.822,1.05,False,
57,"{""Pd"": 0.05, ""Pt"": 0.2, ""Al"": 0.25, ""Ag"": 0.2, ""Cu"": 0.3}",-15.8,12.482,4.949,8.75,1387.642,1.096,False,
61,"{""Pd"": 0.05, ""Pt"": 0.2, ""Al"": 0.3, ""Ag"": 0.1, ""Cu"": 0.35}",-18.42,11.894,5.03,8.35,1378.785,0.89,False,
62,"{""Pd"": 0.05, ""Pt"": 0.2, ""Al"": 0.3, ""Ag"": 0.15, ""Cu"": 0.3}",-18.01,12.293,4.908,8.35,1372.605,0.937,False,
63,"{""Pd"": 0.05, ""Pt"": 0.2, ""Al"": 0.3, ""Ag"": 0.2, ""Cu"": 0.25}",-17.64,12.482,4.71,8.35,1366.425,0.967,False,
64,"{""Pd"": 0.05, ""Pt"": 0.2, ""Al"": 0.3, ""Ag"": 0.25, ""Cu"": 0.2}",-17.31,12.482,4.427,8.35,1360.245,0.981,False,
65,"{""Pd"": 0.05, ""Pt"": 0.2, ""Al"": 0.3, ""Ag"": 0.3, ""Cu"": 0.15}",-17.02,12.293,4.045,8.35,1354.065,0.978,False,
66,"{""Pd"": 0.05, ""Pt"": 0.2, ""Al"": 0.3, ""Ag"": 0.35, ""Cu"": 0.1}",-16.77,11.894,3.536,8.35,1347.885,0.956,False,
67,"{""Pd"": 0.05, ""Pt"": 0.2, ""Al"": 0.35, ""Ag"": 0.05, ""Cu"": 0.35}",-20.54,11.277,4.983,7.95,1363.748,0.749,False,
68,"{""Pd"": 0.05, ""Pt"": 0.2, ""Al"": 0.35, ""Ag"": 0.1, ""Cu"": 0.3}",-20.14,11.894,4.866,7.95,1357.568,0.802,False,
69,"{""Pd"": 0.05, ""Pt"": 0.2, ""Al"": 0.35, ""Ag"": 0.15, ""Cu"": 0.25}",-19.78,12.224,4.672,7.95,1351.388,0.835,False,
70,"{""Pd"": 0.05, ""Pt"": 0.2, ""Al"": 0.35, ""Ag"": 0.2, ""Cu"": 0.2}",-19.46,12.329,4.394,7.95,1345.208,0.852,False,
71,"{""Pd"": 0.05, ""Pt"": 0.2, ""Al"": 0.35, ""Ag"": 0.25, ""Cu"": 0.15}",-19.18,12.224,4.016,7.95,1339.028,0.853,False,
72,"{""Pd"": 0.05, ""Pt"": 0.2, ""Al"": 0.35, ""Ag"": 0.3, ""Cu"": 0.1}",-18.94,11.894,3.51,7.95,1332.848,0.837,False,
73,"{""Pd"": 0.05, ""Pt"": 0.2, ""Al"": 0.35, ""Ag"": 0.35, ""Cu"": 0.05}",-18.74,11.277,2.812,7.95,1326.668,0.798,False,
83,"{""Pd"": 0.05, ""Pt"": 0.25, ""Al"": 0.2, ""Ag"": 0.15, ""Cu"": 0.35}",-16.42,12.224,4.983,9.1,1449.41,1.079,False,
88,"{""Pd"": 0.05, ""Pt"": 0.25, ""Al"": 0.25, ""Ag"": 0.1, ""Cu"": 0.35}",-19.09,11.977,4.934,8.7,1434.372,0.9,False,
89,"{""Pd"": 0.05, ""Pt"": 0.25, ""Al"": 0.25, ""Ag"": 0.15, ""Cu"": 0.3}",-18.54,12.377,4.831,8.7,1428.192,0.953,False,
90,"{""Pd"": 0.05, ""Pt"": 0.25, ""Al"": 0.25, ""Ag"": 0.2, ""Cu"": 0.25}",-18.03,12.566,4.651,8.7,1422.012,0.991,False,
91,"{""Pd"": 0.05, ""Pt"": 0.25, ""Al"": 0.25, ""Ag"": 0.25, ""Cu"": 0.2}",-17.56,12.566,4.386,8.7,1415.832,1.013,False,
92,"{""Pd"": 0.05, ""Pt"": 0.25, ""Al"": 0.25, ""Ag"": 0.3, ""Cu"": 0.15}",-17.13,12.377,4.024,8.7,1409.653,1.019,False,
93,"{""Pd"": 0.05, ""Pt"": 0.25, ""Al"": 0.25, ""Ag"": 0.35, ""Cu"": 0.1}",-16.74,11.977,3.537,8.7,1403.472,1.004,False,
94,"{""Pd"": 0.05, ""Pt"": 0.25, ""Al"": 0.3, ""Ag"": 0.05, ""Cu"": 0.35}",-21.68,11.43,4.884,8.3,1419.335,0.748,False,
