"{""Pd"": 0.05, ""Pt"": 0.05, ""Al"": 0.2, ""Ag"": 0.35, ""Cu"": 0.35}"
"{""Pd"": 0.05, ""Pt"": 0.05, ""Al"": 0.25, ""Ag"": 0.3, ""Cu"": 0.35}"
"{""Pd"": 0.05, ""Pt"": 0.05, ""Al"": 0.25, ""Ag"": 0.35, ""Cu"": 0.3}"
"{""Pd"": 0.05, ""Pt"": 0.05, ""Al"": 0.3, ""Ag"": 0.25, ""Cu"": 0.35}"
"{""Pd"": 0.05, ""Pt"": 0.05, ""Al"": 0.3, ""Ag"": 0.3, ""Cu"": 0.3}"
"{""Pd"": 0.05, ""Pt"": 0.05, ""Al"": 0.3, ""Ag"": 0.35, ""Cu"": 0.25}"
"{""Pd"": 0.05, ""Pt"": 0.05, ""Al"": 0.35, ""Ag"": 0.2, ""Cu"": 0.35}"
"{""Pd"": 0.05, ""Pt"": 0.05, ""Al"": 0.35, ""Ag"": 0.25, ""Cu"": 0.3}"
"{""Pd"": 0.05, ""Pt"": 0.05, ""Al"": 0.35, ""Ag"": 0.3, ""Cu"": 0.25}"
"{""Pd"": 0.05, ""Pt"": 0.05, ""Al"": 0.35, ""Ag"": 0.35, ""Cu"": 0.2}"
"{""Pd"": 0.05, ""Pt"": 0.1, ""Al"": 0.15, ""Ag"": 0.35, ""Cu"": 0.35}"
"{""Pd"": 0.05, ""Pt"": 0.1, ""Al"": 0.2, ""Ag"": 0.3, ""Cu"": 0.35}"
"{""Pd"": 0.05, ""Pt"": 0.1, ""Al"": 0.2, ""Ag"": 0.35, ""Cu"": 0.3}"
"{""Pd"": 0.05, ""Pt"": 0.1, ""Al"": 0.25, ""Ag"": 0.25, ""Cu"": 0.35}"
"{""Pd"": 0.05, ""Pt"": 0.1, ""Al"": 0.25, ""Ag"": 0.3, ""Cu"": 0.3}"
"{""Pd"": 0.05, ""Pt"": 0.1, ""Al"": 0.25, ""Ag"": 0.35, ""Cu"": 0.25}"
"{""Pd"": 0.05, ""Pt"": 0.1, ""Al"": 0.3, ""Ag"": 0.2, ""Cu"": 0.35}"
